"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1082","Crater Lake National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Female","55-64","Hiking",2013-09-19,2013
"1083","Crater Lake National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Female","65+","Hiking",2013-09-19,2013
"1084","Colorado National Monument","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2013-09-19,2013
"1085","Lake Mead National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Female","45-54","Vessel Related",2013-09-21,2013
"1086","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-09-22,2013
"1087","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2013-09-25,2013
"1088","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Not Reported",2013-09-26,2013
"1089","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Female","65+","Not Reported",2013-09-26,2013
"1090","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Not Reported",2013-09-30,2013
"1091","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2013-09-30,2013
"1092","National Mall & Memorial Parks","Fire/Burn","Other","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2013-10-04,2013
"1093","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Walking",2013-10-09,2013
"1094","George Washington Memorial Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-10-11,2013
"1095","Rocky Mountain National Park","Poisoning - Carbon monoxide","Poisoning","Unintentional","Fatal injury","Male","45-54","Camping",2013-10-21,2013
"1096","Cape Cod National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Female","45-54","Swimming",2013-11-03,2013
"1097","Golden Gate National Recreation Area","Poisoning - Drugs","Poisoning","Unintentional","Fatal injury","Female","25-34","Not Reported",2013-11-07,2013
"1098","Pictured Rocks National Lakeshore","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-11-11,2013
"1099","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2013-11-18,2013
"1100","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","65+","Driving",2013-11-18,2013
"1101","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2013-11-25,2013
"1102","Baltimore-Washington Parkway","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-12-03,2013
"1103","Chattahoochee River National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2013-12-04,2013
"1104","Blue Ridge Parkway","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Driving",2013-12-05,2013
"1105","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-12-08,2013
"1106","National Mall & Memorial Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-12-10,2013
"1107","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-12-12,2013
"1108","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-12-12,2013
"1109","Lake Roosevelt National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2013-12-15,2013
"1110","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2013-12-19,2013
"1111","Anacostia Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-12-25,2013
"1112","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-12-28,2013
"1113","National Mall & Memorial Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-12-29,2013
"1114","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2014-01-02,2014
"1115","Rocky Mountain National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2014-01-07,2014
"1116","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","35-44","Suicide",2014-01-08,2014
"1117","Lake Mead National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","35-44","Suicide",2014-01-10,2014
"1118","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2014-01-11,2014
"1119","Fort Foote Park","Drowning","Drowning","Unintentional","Fatal Injury","Female","45-54","Not Reported",2014-01-12,2014
"1120","Acadia National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","65+","Suicide",2014-01-14,2014
"1121","Death Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2014-01-17,2014
"1122","Joshua Tree National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2014-01-17,2014
"1123","Point Reyes National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Fishing",2014-01-21,2014
"1124","Colorado National Monument","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2014-01-22,2014
"1125","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Base jumping",2014-01-24,2014
"1126","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","35-44","Suicide",2014-01-24,2014
"1127","Grand Canyon National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Walking",2014-01-25,2014
"1128","Big Cypress National Preserve","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2014-01-25,2014
"1129","Grand Canyon National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","15-24","Driving",2014-01-31,2014
"1130","Buffalo National River","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2014-02-02,2014
"1131","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2014-02-06,2014
"1132","Zion National Park","Fall","Fall","Unintentional","Fatal Injury","Female","25-34","Base jumping",2014-02-08,2014
"1133","Presidio of San Francisco","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2014-02-11,2014
"1134","Lake Mead National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2014-02-13,2014
"1135","Lake Mead National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","25-34","Other",2014-02-15,2014
"1136","Great Smoky Mountains National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Driving",2014-02-16,2014
"1137","Natchez Trace Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","65+","Suicide",2014-02-16,2014
"1138","Lake Mead National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","55-64","Other",2014-02-17,2014
"1139","Gulf Islands National Seashore","Suicide","Suicide","Intentional","Fatal Injury","Male","Not Reported","Suicide",2014-02-17,2014
"1140","Piscataway Park","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2014-02-19,2014
"1141","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2014-02-20,2014
"1142","Point Reyes National Seashore","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","45-54","Other",2014-02-22,2014
"1143","Yosemite National Park","Hypothermia","Environmental","Unintentional","Fatal Injury","Male","35-44","Bicycling",2014-02-26,2014
"1144","Chattahoochee River National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","55-64","Not Reported",2014-03-03,2014
"1145","Chesapeake & Ohio Canal National Historical Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Walking",2014-03-08,2014
"1146","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Driving",2014-03-09,2014
"1147","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","25-34","Suicide",2014-03-11,2014
"1148","National Mall & Memorial Parks","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sleeping",2014-03-13,2014
"1149","Rock Creek Park","Suicide","Suicide","Intentional","Fatal Injury","Female","45-54","Suicide",2014-03-13,2014
"1150","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Male","45-54","Photographing",2014-03-15,2014
"1151","Glen Canyon National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","65+","Not Reported",2014-03-15,2014
"1152","Yosemite National Park","Skateboard Incident","Other Transportation","Unintentional","Fatal Injury","Female","15-24","Skateboarding",2014-03-16,2014
"1153","Grand Canyon National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2014-03-17,2014
"1154","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Vessel Related",2014-03-18,2014
"1155","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Male","0-14","Hiking",2014-03-22,2014
"1156","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2014-03-22,2014
"1157","Assateague Island National Seashore","Skateboard Incident","Other Transportation","Unintentional","Fatal Injury","Male","15-24","Skateboarding",2014-03-22,2014
"1158","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2014-03-23,2014
"1159","Zion National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Base jumping",2014-03-23,2014
"1160","Delaware Water Gap National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","45-54","Suicide",2014-03-25,2014
"1161","Valley Forge National Historical Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2014-03-28,2014
"1162","Joshua Tree National Park","Fall","Fall","Unintentional","Fatal Injury","Female","35-44","Climbing",2014-03-29,2014
"1163","San Francisco Maritime National Historical Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","Not Reported","Not Reported",2014-03-30,2014
"1164","Kenilworth Park & Aquatic Gardens","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2014-03-31,2014
"1165","Point Reyes National Seashore","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2014-04-01,2014
"1166","Gulf Islands National Seashore","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2014-04-01,2014
"1167","Blue Ridge Parkway","Bicycle only crash","Other Transportation","Unintentional","Fatal Injury","Male","45-54","Bicycling",2014-04-02,2014
"1168","Whiskeytown National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","35-44","Suicide",2014-04-02,2014
"1169","Chickasaw National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","0-14","Vessel Related",2014-04-05,2014
"1170","National Mall & Memorial Parks","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Female","65+","Not Reported",2014-04-05,2014
"1171","Joshua Tree National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","25-34","Driving",2014-04-06,2014
"1172","Joshua Tree National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2014-04-06,2014
"1173","Presidio of San Francisco","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2014-04-07,2014
"1174","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2014-04-10,2014
"1175","George Washington Memorial Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2014-04-11,2014
